name,category,brand,unit,units_per_box,mrp,selling_price,gst_rate,minimum_stock,image_filename,status
Super Jelly LABUBU,Candy & Jelly,R.L. Confectionery,piece,24,100.00,89.00,18,40,super_jelly_labubu.jpeg,active
Zara Ros Paan,Candy & Jelly,A.D. Confeexonss,piece,24,5.00,4.50,18,60,zara_ros_paan.jpeg,active
Joy Gum Mouth Freshener,Confectionery,Joy,piece,24,5.00,4.50,18,60,joy_gum.jpeg,active
Khatti Mithi Imli Chutney,Namkeen,iFly Food Products,piece,24,1.00,0.90,12,80,khatti_mithi_imli_chutney.jpeg,active
Italy Creamy Wafer,Biscuits,iFly,box,12,180.00,162.00,5,40,italy_creamy_wafer.jpeg,active
Mint Polo Peppermint,Confectionery,Talespin,piece,24,1.00,0.90,18,60,mint_polo_peppermint.jpeg,active
Bapida Khajana,Confectionery,iFly,piece,24,5.00,4.50,18,50,bapida_khajana.jpeg,active
Madhuri Nut Bars,Namkeen,Dhanal Lakshmi Griha Udyog,piece,24,120.00,108.00,5,40,madhuri_nut_bars.jpeg,active
Dazzy Choco Orange,Chocolates,Dazzy,piece,24,60.00,54.00,18,40,dazzy_choco_orange.jpeg,active
Dazzy Double Strawberry,Chocolates,Dazzy,piece,24,60.00,54.00,18,40,dazzy_double_strawberry.jpeg,active
Dazzy Double Mango Centerfills,Confectionery,Dazzy,piece,24,60.00,54.00,18,40,dazzy_double_mango.jpeg,active
Dazzy Double Cokonat,Confectionery,Dazzy,piece,24,60.00,54.00,18,40,dazzy_double_cokonat.jpeg,active
Dazzy Double Kaccha Aam,Confectionery,Dazzy,piece,24,60.00,54.00,18,40,dazzy_double_kaccha_aam.jpeg,active
Dazzy Double Paan Banarasi,Confectionery,Dazzy,piece,24,60.00,54.00,18,40,dazzy_double_paan_banarasi.jpeg,active
Darry D'Love Chocolate,Chocolates,Darry,box,6,350.00,315.00,18,20,darry_dlove_chocolate.jpeg,active
Stacy Finest Chocolates Minis,Chocolates,Stacy,piece,24,5.00,4.50,18,50,stacy_finest_chocolates.jpeg,active
Dazzy King Kong Hello Cholo,Chocolates,Dazzy,box,12,90.00,81.00,18,30,dazzy_king_kong_chocolate.jpeg,active
Dazzy Dr Teddy,Chocolates,Dazzy,box,12,90.00,81.00,18,30,dazzy_dr_teddy.jpeg,active
D'Love Cream Fills,Chocolates,Keymur Foods,piece,24,110.00,99.00,18,40,dlove_cream_fills.jpeg,active
Dazzy D-Bon Fruity Assorted,Candy & Jelly,Dazzy,piece,24,2.00,1.80,18,60,dazzy_dbon_fruity_assorted.jpeg,active
Dazzy D-Bon Malai Debon Candy,Candy & Jelly,Dazzy,piece,24,2.00,1.80,18,60,dazzy_dbon_malai.jpeg,active
Dazzy D-Bon Paan Debon Candy,Candy & Jelly,Dazzy,piece,24,2.00,1.80,18,60,dazzy_dbon_paan.jpeg,active
D'Love Gold Coated Chocolate,Chocolates,Dazzy,piece,24,110.00,99.00,18,30,dlove_gold_coated_chocolate.jpeg,active
Dazzy Stix Assorted (Milk/Kri-Kat/Choco),Biscuits,Dazzy,piece,24,5.00,4.50,12,50,dazzy_stix_assorted.jpeg,active
Dazzy Soffiti Frutose Mix Fruits,Candy & Jelly,Dazzy,piece,24,2.00,1.80,18,60,dazzy_soffiti_frutose.jpeg,active
Dazzy Kri-Kat Creme Stix,Biscuits,Dazzy,piece,24,5.00,4.50,12,50,dazzy_krikat_creme_stix.jpeg,active
Dazzy Dairy Kiss Milk Chocolate Bar,Chocolates,Dazzy,box,12,165.00,148.50,18,25,dazzy_dairy_kiss.jpeg,active
Dazzy Big Rolle with Fills,Chocolates,Dazzy,piece,24,15.00,13.50,18,40,dazzy_big_rolle.jpeg,active
Dazzy Gold Chocolate Truffles,Chocolates,Dazzy,piece,12,250.00,225.00,18,25,dazzy_gold_chocolate_truffles.jpeg,active
Dazzy Malai Kulfi,Confectionery,Dazzy,piece,24,2.00,1.80,18,60,dazzy_malai_kulfi.jpeg,active
Dazzy De Gold Milk Mithai,Confectionery,Dazzy,box,12,150.00,135.00,18,30,dazzy_de_gold_milk_mithai.jpeg,active
Dazzy D-Bon Nimbu Pani Debon Candy,Candy & Jelly,Dazzy,piece,24,2.00,1.80,18,60,dazzy_dbon_nimbu_pan.jpeg,active
Stacy Smooth & Rich Chocolate Tub,Chocolates,Stacy,piece,12,180.00,162.00,18,25,stacy_smooth_rich_chocolate.jpeg,active
Dazzy D-Bon Cola Debon Candy,Candy & Jelly,Dazzy,piece,24,2.00,1.80,18,60,dazzy_dbon_cola.jpeg,active
Dazzy Pan Rolle,Confectionery,Dazzy,piece,24,15.00,13.50,18,40,dazzy_pan_rolle.jpeg,active
Neo Breakos Wafer Tub,Biscuits,Neo,piece,12,180.00,162.00,12,30,neo_breakos_tub.jpeg,active
Neo Kachaa Aam Jar,Candy & Jelly,Neo,piece,24,120.00,108.00,18,40,neo_kachaa_aam_jar.jpeg,active
Dazzy 3 Pan Rolle Original,Confectionery,Dazzy,piece,24,5.00,4.50,18,50,dazzy_3_pan_rolle.jpeg,active
Neo Kachaa Aam Mist Center Filled Candy,Candy & Jelly,Neo,piece,24,2.00,1.80,18,60,neo_kachaa_aam_mist.jpeg,active
Neo Exotica Creamy Wafer Assorted,Biscuits,Neo,piece,12,150.00,135.00,5,40,neo_exotica_wafer_assorted.jpeg,active
Neo Twinkle Star Choco Wafer,Biscuits,Neo,piece,12,187.00,168.00,5,40,neo_twinkle_star.jpeg,active
Neo Breakos Chocolate Crunch,Biscuits,Neo,box,12,90.00,81.00,12,40,neo_breakos_choco_crunch.jpeg,active
Neo Choco Yorker,Chocolates,Neo,box,24,50.00,45.00,18,50,neo_choco_yorker.jpeg,active
Neo Mania Creme Wafer Assorted,Biscuits,Neo,piece,12,140.00,126.00,5,40,neo_mania_creme_wafer.jpeg,active
Neo Choco Arena Strawberry,Chocolates,Neo,box,12,100.00,90.00,18,35,neo_choco_arena_strawberry.jpeg,active
Neo Breakos Strawberry Cream Wafer,Biscuits,Neo,box,12,90.00,81.00,12,40,neo_breakos_strawberry.jpeg,active
Neo 4Buddies Coated Balls,Confectionery,Neo,piece,24,110.00,99.00,18,40,neo_4buddies_coated_balls.jpeg,active
Neo Hi Panda Coated Biscuit Balls,Biscuits,Neo,piece,24,110.00,99.00,12,40,neo_hi_panda_biscuit_balls.jpeg,active
Neo Kidz Joy Choco with Toy,Chocolates,Neo,box,12,120.00,108.00,18,35,neo_kidz_joy.jpeg,active
Neo Hi Panda Choco Scoops,Chocolates,Neo,piece,24,110.00,99.00,18,40,neo_hi_panda_choco_scoops.jpeg,active
